source_genesymbol	target_genesymbol
AKT1	CHUK
CHUK	NFKB1
NFKB1	CHUK
PIK3R1	AKT1
AKT1	PIK3R1
CAPN1	BCL2
CAPN2	BCL2
CAPN1	BCL2L1
CAPN2	BID
CAPN1	BID
BCL2	CASP3
CASP3	BCL2
CAPN2	BCL2L1
RIPK1	CASP10
CASP10	RIPK1
CASP10	BID
CASP3	BIRC2
BIRC2	CASP3
CFLAR	CASP10
CASP7	TNFRSF1A
CASP3	CASP8
CASP8	CASP3
CASP3	CASP10
CASP10	CASP3
BCL2L1	APAF1
ATM	BID
TP53	BID
TP53	CASP6
TP53	CASP10
IKBKB	MAP3K14
MAP3K14	IKBKB
TNFRSF10C	TNFSF10
TNFSF10	TNFRSF10C
TNFRSF10A	TNFRSF10B
TNFRSF10A	RIPK1
RIPK1	TNFRSF10A
TNFRSF10B	RIPK1
RIPK1	TNFRSF10B
TNFRSF10A	TRADD
TNFRSF10B	TRADD
TRAF2	BIRC2
BIRC2	TRAF2
TRAF2	MAP3K14
MAP3K14	TRAF2
MYD88	IRAK4
IRAK4	MYD88
TP53	BCL2
BCL2	TP53
TP53	TNFRSF10C
TP53	TNFRSF10A
IKBKB	IKBKG
IKBKG	IKBKB
CASP6	CASP8
CASP8	CASP6
TNFRSF10A	FADD
BID	BAX
FADD	RIPK1
RIPK1	FADD
CASP7	DFFA
CASP3	IKBKB
CASP3	RELA
ATM	IKBKG
BIRC2	CASP7
BIRC3	CASP7
BIRC3	CASP9
CASP3	CASP7
CASP3	DFFA
IL1A	IL1R1
IKBKB	TRAF2
TRAF2	IKBKB
TP53	FASLG
BAX	ENDOG
BID	BCL2L1
BCL2L1	BID
TRAF2	RIPK1
RIPK1	TRAF2
RIPK1	TRADD
TRADD	RIPK1
MAP3K14	RELA
DFFA	DFFB
DFFB	DFFA
CASP8	CASP7
BID	CASP8
CASP8	BID
NGF	NTRK1
NTRK1	NGF
CASP7	CASP9
CASP9	CASP7
BCL2L1	BAD
BAD	BCL2L1
FADD	CASP10
CFLAR	FADD
CASP3	CASP6
CASP6	CASP3
BCL2	BAD
BAD	BCL2
BCL2	BAX
BAX	BCL2
BCL2L1	BAX
IKBKB	NFKB1
NFKB1	IKBKB
BIRC2	IKBKG
BIRC2	MAP3K14
BIRC3	MAP3K14
BIRC2	RIPK1
BIRC3	RIPK1
IRAK1	MYD88
MYD88	IRAK1
IRAK1	IRAK4
IRAK4	IRAK1
TP53	APAF1
TP53	BAX
TP53	ATM
ATM	TP53
CYCS	APAF1
TP53	TNFRSF10B
TP53	BIRC3
TP53	TNFRSF10D
TRAF2	BIRC3
BIRC3	TRAF2
ATM	AKT1
BAD	CYCS
BAX	AIFM1
BAX	CYCS
CASP3	XIAP
XIAP	CASP3
BAX	APAF1
BIRC3	CASP3
XIAP	CASP9
TP53	FAS
FAS	FADD
FADD	FAS
FASLG	FAS
TNFSF10	TNFRSF10D
TNFRSF10D	TNFSF10
TNFRSF10B	TNFSF10
TNFSF10	TNFRSF10B
TNFRSF10A	TNFSF10
TNFSF10	TNFRSF10A
TNFRSF10B	FADD
TNFRSF1A	RIPK1
RIPK1	TNFRSF1A
TNFRSF1A	TRADD
TRADD	TNFRSF1A
FADD	TRADD
TRADD	FADD
TRADD	TRAF2
TNF	TNFRSF1A
TNFRSF1A	TNF
BIRC2	CASP9
CASP3	CASP9
CASP9	CASP3
XIAP	CASP7
RIPK1	CASP8
CASP8	RIPK1
AKT1	BAD
BAD	AKT1
AKT1	CASP9
CFLAR	CASP8
APAF1	CASP9
FADD	CASP8
CASP8	FADD
IL1B	IL1R1
IL1R1	IL1B
CHUK	IKBKG
IKBKG	CHUK
IKBKB	NFKBIA
CHUK	NFKBIA
NFKBIA	CHUK
IL3	IL3RA
IRAK2	IL1R1
IL1R1	IRAK2
IL1R1	IL1RAP
IL1RAP	IL1R1
IL1R1	IRAK1
AKT1	PRKACA
IL1R1	PIK3R1
AKT3	BAD
NFKB1	NFKBIA
NFKBIA	NFKB1
IL1A	IL1RAP
IL1B	IL1RAP
IL1RAP	IL1B
IL3	CSF2RB
CASP9	CASP6
PRKACA	BAD
PRKACA	NFKB1
BAX	BAD
CASP3	PPP3R1
BCL2	BID
PPP3R1	BAD
NTRK1	PIK3CA
ATM	NFKBIA
IKBKG	NFKBIA
ATM	CHUK
ATM	IKBKB
CHUK	RELA
IKBKB	CHUK
CHUK	IKBKB
RIPK1	IKBKG
CHUK	MAP3K14
MAP3K14	CHUK
NFKB1	RELA
RELA	NFKB1
NFKBIA	RELA
RELA	NFKBIA
AKT1	NFKBIA
TNFRSF1A	CASP8
CHUK	TRAF2
TRAF2	CHUK
CASP10	CASP7
BID	ENDOG
BID	CYCS
BID	AIFM1
IL1R1	MYD88
MYD88	IL1R1
AKT2	CASP9
CASP3	DFFB
PPP3CA	BAD
PPP3CB	BAD
PPP3CC	BAD
PRKACA	CASP9
PRKACA	PRKAR2B
PRKAR2B	PRKACA
PRKACB	BAD
PRKACG	BAD
AKT1	IRAK1
PRKACA	CAPN2
AKT1	XIAP
AKT3	XIAP
AKT2	XIAP
IKBKB	RELA
IKBKB	BAD
FAS	RIPK1
RIPK1	FAS
BIRC3	BIRC2
AKT2	BAD
CASP3	BAD
BCL2L1	CASP9
PRKACA	RELA
AKT3	IRAK1
AKT2	IRAK1
PIK3R3	PIK3CA
TNF	PIK3CG
TNFRSF1A	TRAF2
TRADD	BIRC2
AKT3	CASP9
TRADD	CASP8
PRKAR1A	PRKACA
PRKACA	PRKAR1A
PRKAR1A	PRKACB
PRKAR1B	PRKACA
PRKAR1B	PRKACB
PRKAR2A	PRKACA
PRKAR2A	PRKACB
PRKAR2B	PRKACB
IKBKG	RELA
AKT2	CHUK
AKT3	CHUK
AKT1	BAX
AKT3	BAX
AKT2	BAX
BAD	TP53
AKT1	CFLAR
AKT3	CFLAR
AKT2	CFLAR
CASP9	CYCS
CYCS	CASP9
IRAK3	IRAK4
PIK3CA	AKT1
PIK3CA	AKT3
PIK3CA	AKT2
PIK3CG	AKT1
PIK3CG	AKT3
PIK3CG	AKT2
CAPN1	PRKACA
PRKACA	CAPN1
TNFSF10	RIPK1
FASLG	TNFRSF1A
TNF	TRAF2
FADD	TRAF2
